mph,alpha,beta,seq,baro,oat,dp0,dpA,dpB
73,0,-40,33049,100963.570312,15.6875,519.168091,62.219238,1258.016968
73,0,-40,33050,100964.953125,15.6875,390.078735,102.502441,1090.475464
73,0,-40,33051,100975.1875,15.6875,462.405396,104.333496,1156.393433
73,0,-40,33052,100977.5625,15.6875,454.165649,280.114746,1266.256714
73,0,-40,33053,100978.3125,15.6875,466.067505,130.883789,1160.055542
73,0,-40,33054,100981.390625,15.6875,483.462524,165.673828,1263.510132
73,0,-40,33055,100984.554688,15.6875,564.944458,75.036621,1426.473999
73,0,-40,33056,100980.15625,15.6875,491.702271,41.162109,1328.512573
73,0,-40,33057,100977.320312,15.6875,542.056274,59.472656,1310.202026
73,0,-40,33058,100969.242188,15.6875,612.55188,30.175781,1444.784546
73,0,-40,33059,100962.914062,15.6875,483.462524,66.796875,1319.3573
73,0,-40,33060,100964.492188,15.6875,491.702271,99.755859,1252.523804
73,0,-40,33061,100969.476562,15.6875,425.784302,109.82666,936.66687
73,0,-40,33062,100979.492188,15.6875,409.30481,75.952148,852.438354
73,0,-40,33063,100996.84375,15.6875,428.530884,114.404297,1009.909058
73,0,-40,33064,100997.257812,15.6875,355.288696,202.294922,1017.233276
73,0,-40,33065,100998.71875,15.6875,428.530884,78.69873,1267.172241
73,0,-40,33066,100981.726562,15.6875,547.549438,128.137207,1326.681519
73,0,-40,33067,100980.078125,15.6875,425.784302,98.840332,1047.445679
73,0,-40,33068,100993.601562,15.6875,459.658813,149.194336,1113.363647
73,0,-40,33069,100998.648438,15.6875,499.942017,57.641602,1177.450562
73,0,-40,33070,100992.421875,15.6875,398.318481,99.755859,1252.523804
73,0,-40,33071,100988.84375,15.6875,414.797974,194.055176,1207.662964
73,0,-40,33072,100986.0625,15.6875,431.277466,160.180664,1169.210815
73,0,-40,33073,100978.476562,15.6875,483.462524,134.545898,1081.32019
73,0,-40,33074,100983.976562,15.6875,412.051392,93.347168,1068.502808
73,0,-40,33075,100989.460938,15.6875,423.03772,30.175781,1222.311401
73,0,-40,33076,100985.429688,15.6875,480.715942,115.319824,1254.354858
73,0,-40,33077,100979.351562,15.6875,442.263794,120.812988,1087.728882
73,0,-40,33078,100987.078125,15.6875,360.78186,183.984375,973.287964
73,0,-40,33079,100994.6875,15.6875,425.784302,91.516113,1290.060425
73,0,-40,33080,100984.328125,15.6875,436.77063,18.273926,1174.703979
73,0,-40,33081,100987.242188,15.6875,436.77063,134.545898,1116.110229
73,0,-40,33082,100991.265625,15.6875,406.558228,39.331055,1107.870483
73,0,-40,33083,100993.734375,15.6875,513.674927,-67.785645,1204.916382
73,0,-40,33084,100990.859375,15.6875,553.042603,-147.436523,1047.445679
73,0,-40,33085,101008.039062,15.6875,451.419067,-2.783203,1159.140015
73,0,-40,33086,101007.632812,15.625,376.345825,147.363281,1076.742554
73,0,-40,33087,100996.976562,15.625,475.222778,69.543457,1235.128784
73,0,-40,33088,100990.382812,15.625,499.942017,15.527344,1172.872925
73,0,-40,33089,100987.179688,15.625,445.010376,151.940918,1102.377319
73,0,-40,33090,100985.765625,15.6875,387.332153,217.858887,1105.123901
73,0,-40,33091,100988.296875,15.6875,285.708618,207.788086,922.018433
73,0,-40,33092,100994.171875,15.6875,358.035278,200.463867,767.294312
73,0,-40,33093,101010.851562,15.6875,428.530884,69.543457,1046.530151
73,0,-40,33094,101017.53125,15.6875,436.77063,-10.107422,1027.304077
73,0,-40,33095,101013.828125,15.6875,360.78186,181.237793,1041.036987
73,0,-40,33096,101006.890625,15.6875,513.674927,171.166992,1154.562378
73,0,-40,33097,101008.867188,15.6875,390.078735,163.842773,1043.783569
73,0,-40,33098,101008.421875,15.6875,318.667603,160.180664,1039.205933
73,0,-40,33099,101005.976562,15.6875,367.190552,93.347168,1235.128784
73,0,-40,33100,100998.59375,15.6875,454.165649,125.390625,1166.464233
73,0,-40,33101,100998.710938,15.6875,451.419067,122.644043,952.230835
73,0,-40,33102,101004.953125,15.6875,417.544556,118.066406,1017.233276
73,0,-40,33103,101006.078125,15.6875,406.558228,96.09375,990.682983
73,0,-40,33104,101010.601562,15.625,315.921021,56.726074,1072.164917
73,0,-40,33105,101008.046875,15.625,352.542114,181.237793,994.345093
73,0,-40,33106,101009.914062,15.625,398.318481,57.641602,1116.110229
73,0,-40,33107,100997.140625,15.625,384.585571,62.219238,1163.717651
73,0,-40,33108,100993.015625,15.625,477.96936,-75.109863,1092.306519
73,0,-40,33109,100999.101562,15.625,536.56311,-31.164551,1204.916382
73,0,-40,33110,100990.34375,15.625,447.756958,87.854004,1024.557495
73,0,-40,33111,101000.257812,15.625,436.77063,161.096191,991.598511
73,0,-40,33112,101008.773438,15.625,412.051392,10.03418,1055.685425
73,0,-40,33113,101009.59375,15.6875,447.756958,-25.671387,1112.44812
73,0,-40,33114,101002.328125,15.6875,313.174438,181.237793,858.847046
73,0,-40,33115,101003.328125,15.6875,313.174438,186.730957,927.511597
73,0,-40,33116,101004.648438,15.6875,321.414185,238.916016,851.522827
73,0,-40,33117,101010.460938,15.6875,340.640259,171.166992,848.776245
73,0,-40,33118,101014.335938,15.6875,499.942017,-65.95459,1122.518921
73,0,-40,33119,101016.445312,15.6875,381.838989,136.376953,973.287964
73,0,-40,33120,101011.796875,15.6875,486.209106,53.979492,1006.246948
73,0,-40,33121,101020.75,15.6875,358.035278,98.840332,855.184937
73,0,-40,33122,101025.09375,15.6875,332.400513,90.600586,824.057007
73,0,-40,33123,101023.789062,15.6875,226.199341,117.150879,908.285522
73,0,-40,33124,101017.867188,15.6875,390.078735,51.23291,1007.162476
73,0,-40,33125,101020.46875,15.6875,373.599243,115.319824,761.801147
73,0,-40,33126,101021.84375,15.6875,349.795532,134.545898,903.707886
73,0,-40,33127,101021.265625,15.6875,373.599243,94.262695,947.653198
73,0,-40,33128,101030.492188,15.6875,513.674927,-18.347168,967.7948
73,0,-40,33129,101031.0,15.6875,352.542114,149.194336,1017.233276
73,0,-40,33130,101027.9375,15.6875,347.04895,167.504883,1004.415894
73,0,-40,33131,101016.085938,15.625,454.165649,152.856445,1007.162476
73,0,-40,33132,101013.078125,15.625,475.222778,64.96582,1302.877808
73,0,-40,33133,100999.46875,15.625,451.419067,41.162109,1167.379761
73,0,-40,33134,101001.742188,15.625,329.653931,107.080078,1028.219604
73,0,-40,33135,101000.203125,15.625,360.78186,52.148438,1053.85437
73,0,-40,33136,101002.0625,15.625,417.544556,101.586914,1113.363647
73,0,-40,33137,101004.664062,15.625,376.345825,98.840332,823.141479
73,0,-40,33138,101018.40625,15.625,349.795532,77.783203,835.958862
73,0,-40,33139,101027.351562,15.625,355.288696,241.662598,879.904175
73,0,-40,33140,101025.445312,15.625,373.599243,131.799316,772.787476
73,0,-40,33141,101027.414062,15.625,420.291138,83.276367,1063.009644
73,0,-40,33142,101017.289062,15.625,423.03772,88.769531,1084.066772
73,0,-40,33143,101020.804688,15.625,337.893677,316.73584,962.301636
73,0,-40,33144,101021.453125,15.625,406.558228,98.840332,1006.246948
73,0,-40,33145,101022.507812,15.625,403.811646,-7.36084,1053.85437
73,0,-40,33146,101016.835938,15.625,384.585571,-23.840332,1069.418335
73,0,-40,33147,101014.023438,15.625,494.448853,-57.714844,1075.827026
73,0,-40,33148,101023.34375,15.625,445.010376,81.445312,846.94519
73,0,10,33366,101338.546875,15.5625,652.835083,-65.95459,-31.045532
73,0,10,33367,101340.414062,15.5625,652.835083,2.709961,-188.516235
73,0,10,33368,101341.796875,15.5625,550.296021,136.376953,-298.379517
73,0,10,33369,101341.289062,15.5625,649.172974,46.655273,-367.044067
73,0,10,33370,101337.625,15.5625,607.058716,139.123535,-297.463989
73,0,10,33371,101335.0625,15.5625,680.300903,99.755859,-433.877563
73,0,10,33372,101331.984375,15.5625,536.56311,59.472656,-281.900024
73,0,10,33373,101332.476562,15.5625,624.453735,163.842773,-378.030396
73,0,10,33374,101330.257812,15.5625,688.540649,24.682617,-470.498657
73,0,10,33375,101326.257812,15.5625,722.415161,-201.452637,-454.934692
73,0,10,33376,101324.054688,15.5625,592.410278,-12.854004,-410.073853
73,0,10,33377,101323.976562,15.5625,621.707153,38.415527,-338.66272
73,0,10,33378,101327.398438,15.625,691.287231,-46.728516,-390.847778
73,0,10,33379,101328.203125,15.625,638.186646,-33.911133,-53.933716
73,0,10,33380,101335.0,15.625,754.458618,-141.027832,-519.021606
73,0,10,33381,101330.304688,15.625,751.712036,73.205566,-463.174438
73,0,10,33382,101327.820312,15.625,770.93811,38.415527,-316.690063
73,0,10,33383,101333.171875,15.625,846.92688,-149.267578,-279.153442
73,0,10,33384,101338.679688,15.625,716.921997,-132.788086,-237.039185
73,0,10,33385,101340.734375,15.625,748.965454,16.442871,-473.245239
73,0,10,33386,101335.171875,15.625,680.300903,2.709961,-362.466431
73,0,10,33387,101333.578125,15.625,745.303345,-104.406738,-408.242798
73,0,10,33388,101335.90625,15.625,748.965454,-37.573242,-208.657837
73,0,10,33389,101339.3125,15.625,802.06604,-65.95459,-362.466431
73,0,10,33390,101340.601562,15.625,788.33313,-154.760742,-410.073853
73,0,10,33391,101341.054688,15.625,793.826294,-122.717285,-458.596802
73,0,10,33392,101338.523438,15.625,791.079712,-157.507324,-401.834106
73,0,10,33393,101338.375,15.625,759.951782,-21.09375,-333.169556
73,0,10,33394,101339.570312,15.625,765.444946,-39.404297,-405.496216
73,0,10,33395,101336.742188,15.625,742.556763,-88.842773,-417.398071
73,0,10,33396,101335.101562,15.625,796.572876,67.712402,-526.345825
73,0,10,33397,101331.0,15.625,748.965454,-7.36084,-460.427856
73,0,10,33398,101329.1875,15.625,745.303345,43.908691,-498.880005
73,0,10,33399,101326.796875,15.625,685.794067,78.69873,-289.224243
73,0,10,33400,101331.5,15.625,699.526978,20.10498,-230.630493
73,0,10,33401,101334.03125,15.625,638.186646,75.036621,-261.758423
73,0,10,33402,101335.578125,15.625,547.549438,-12.854004,-139.993286
73,0,10,33403,101339.945312,15.625,600.650024,24.682617,-237.954712
73,0,10,33404,101341.28125,15.625,674.807739,42.993164,-309.365845
73,0,10,33405,101342.234375,15.6875,716.921997,41.162109,-349.649048
73,0,10,33406,101341.734375,15.6875,719.668579,7.287598,-279.153442
73,0,10,33407,101344.015625,15.6875,708.682251,-15.600586,-304.788208
73,0,10,33408,101344.210938,15.6875,672.061157,43.908691,-258.096313
73,0,10,33409,101347.359375,15.6875,810.305786,-29.333496,-378.030396
73,0,10,33410,101346.625,15.6875,742.556763,-42.150879,-393.59436
73,0,10,33411,101345.796875,15.6875,773.684692,-15.600586,-474.160767
73,0,10,33412,101342.421875,15.6875,714.175415,42.993164,-432.962036
73,0,10,33413,101340.671875,15.6875,788.33313,-83.349609,-443.032837
73,0,10,33414,101339.164062,15.6875,727.908325,-65.95459,-410.073853
73,0,10,33415,101339.15625,15.6875,754.458618,133.630371,-417.398071
73,0,10,33416,101339.257812,15.6875,788.33313,154.6875,-237.954712
73,0,10,33417,101340.164062,15.6875,680.300903,-63.208008,-329.507446
73,0,10,33418,101341.125,15.6875,770.93811,-46.728516,-508.950806
73,0,10,33419,101334.773438,15.6875,824.038696,-119.970703,-481.484985
73,0,10,33420,101332.09375,15.6875,731.570435,-141.943359,-408.242798
73,0,10,33421,101333.351562,15.6875,799.319458,-67.785645,-367.044067
73,0,10,33422,101335.53125,15.6875,722.415161,59.472656,-395.425415
73,0,10,33423,101336.5625,15.6875,666.567993,203.210449,-258.096313
73,0,10,33424,101340.46875,15.6875,632.693481,-60.461426,-235.20813
73,0,10,33425,101340.929688,15.6875,629.946899,66.796875,-436.624146
73,0,10,33426,101335.789062,15.6875,609.805298,59.472656,-393.59436
73,0,10,33427,101333.28125,15.6875,714.175415,-77.856445,-367.959595
73,0,10,33428,101335.210938,15.6875,714.175415,39.331055,-345.986938
73,0,10,33429,101336.453125,15.6875,716.921997,-21.09375,-120.767212
73,0,10,33430,101343.179688,15.6875,779.177856,-130.957031,-304.788208
73,0,10,33431,101344.859375,15.6875,658.328247,-19.262695,-365.213013
73,0,10,33432,101344.734375,15.6875,694.033813,-98.913574,-389.016724
73,0,10,33433,101341.34375,15.6875,567.69104,161.096191,-210.488892
73,0,10,33434,101341.015625,15.6875,600.650024,24.682617,-139.077759
73,0,10,33435,101343.085938,15.6875,846.92688,20.10498,-414.651489
73,0,10,33436,101342.375,15.6875,722.415161,-0.036621,-269.998169
73,0,10,33437,101344.320312,15.75,703.189087,-22.009277,-224.221802
73,0,10,33438,101345.890625,15.75,688.540649,-65.95459,-377.114868
73,0,10,33439,101343.992188,15.75,595.15686,-60.461426,-279.153442
73,0,10,33440,101345.234375,15.75,615.298462,230.67627,-362.466431
73,0,10,33441,101342.765625,15.75,652.835083,88.769531,-450.357056
73,0,10,33442,101339.796875,15.6875,745.303345,-15.600586,-312.112427
73,0,10,33443,101341.679688,15.6875,672.061157,-60.461426,-348.733521
73,0,10,33444,101342.328125,15.6875,683.047485,70.458984,-269.082642
73,0,10,33445,101344.960938,15.6875,793.826294,-107.15332,-418.313599
73,0,10,33446,101344.359375,15.75,796.572876,32.922363,-335.916138
73,0,10,33447,101343.789062,15.75,768.191528,-26.586914,-529.092407
73,0,10,33448,101339.71875,15.75,799.319458,-40.319824,-385.354614
73,0,10,33449,101338.851562,15.75,694.033813,125.390625,-295.632935
73,0,10,33450,101342.203125,15.75,810.305786,42.993164,-488.809204
73,0,10,33451,101342.507812,15.75,873.477173,-102.575684,-530.007935
73,0,10,33452,101339.75,15.75,849.673462,-125.463867,-457.681274
73,0,10,33453,101339.914062,15.75,840.518188,-91.589355,-410.98938
73,0,10,33454,101343.304688,15.75,779.177856,1.794434,-297.463989
73,0,10,33455,101345.90625,15.6875,770.93811,-94.335938,-426.553345
73,0,10,33456,101343.6875,15.6875,757.2052,-36.657715,-301.126099
73,0,10,33457,101344.625,15.6875,719.668579,30.175781,-389.016724
73,0,10,33458,101344.140625,15.6875,802.06604,7.287598,-484.231567
73,0,10,33459,101341.195312,15.6875,759.951782,5.456543,-414.651489
73,0,10,33460,101338.765625,15.75,849.673462,-141.027832,-562.051392
73,0,10,33461,101331.945312,15.75,722.415161,128.137207,-352.39563
73,0,10,33462,101335.429688,15.75,725.161743,4.541016,-246.194458
73,0,10,33463,101338.3125,15.75,737.063599,149.194336,-396.340942
73,0,10,33464,101339.78125,15.75,705.935669,165.673828,-389.016724
73,0,10,33465,101339.242188,15.75,635.440063,35.668945,-336.831665
73,0,20,33539,101299.625,15.75,570.437622,88.769531,-612.405396
73,0,20,33540,101298.375,15.75,536.56311,-23.840332,-667.337036
73,0,20,33541,101292.320312,15.75,612.55188,-50.390625,-702.127075
73,0,20,33542,101285.976562,15.75,624.453735,10.03418,-700.296021
73,0,20,33543,101280.234375,15.75,716.921997,-10.107422,-667.337036
73,0,20,33544,101280.554688,15.75,666.567993,-26.586914,-661.843872
73,0,20,33545,101282.367188,15.75,635.440063,80.529785,-609.658813
73,0,20,33546,101285.640625,15.75,584.170532,-39.404297,-650.857544
73,0,20,33547,101285.335938,15.75,575.930786,7.287598,-570.291138
73,0,20,33548,101288.304688,15.75,573.184204,7.287598,-577.615356
73,0,20,33549,101290.140625,15.75,536.56311,137.29248,-643.533325
73,0,20,33550,101287.179688,15.75,530.154419,90.600586,-484.231567
73,0,20,33551,101289.132812,15.75,575.930786,31.091309,-561.135864
73,0,20,33552,101290.125,15.75,635.440063,36.584473,-629.800415
73,0,20,33553,101290.382812,15.75,643.67981,1.794434,-672.8302
73,0,20,33554,101291.6875,15.75,604.312134,67.712402,-630.715942
73,0,20,33555,101293.367188,15.75,751.712036,24.682617,-742.410278
73,0,20,33556,101294.796875,15.75,666.567993,-28.417969,-681.069946
73,0,20,33557,101289.640625,15.75,652.835083,-84.265137,-715.859985
73,0,20,33558,101284.507812,15.75,615.298462,-47.644043,-697.549438
73,0,20,33559,101279.0625,15.75,595.15686,-63.208008,-751.565552
73,0,20,33560,101273.742188,15.8125,519.168091,183.984375,-574.868774
73,0,20,33561,101275.351562,15.8125,672.061157,4.541016,-673.745728
73,0,20,33562,101279.335938,15.8125,663.821411,-114.477539,-866.00647
73,0,20,33563,101273.695312,15.8125,589.663696,-13.769531,-653.604126
73,0,20,33564,101278.992188,15.8125,661.074829,-54.968262,-475.991821
73,0,20,33565,101289.835938,15.8125,499.942017,165.673828,-455.85022
73,0,20,33566,101293.21875,15.8125,655.581665,2.709961,-498.880005
73,0,20,33567,101298.617188,15.8125,575.930786,-2.783203,-596.841431
73,0,20,33568,101296.578125,15.8125,615.298462,10.949707,-675.576782
73,0,20,33569,101296.71875,15.8125,586.917114,107.080078,-649.026489
73,0,20,33570,101288.210938,15.8125,604.312134,90.600586,-640.786743
73,0,20,33571,101283.296875,15.8125,607.058716,-0.036621,-592.263794
73,0,20,33572,101289.390625,15.8125,782.839966,75.952148,-733.255005
73,0,20,33573,101287.5,15.8125,796.572876,-83.349609,-834.87854
73,0,20,33574,101284.015625,15.8125,821.292114,-10.107422,-834.87854
73,0,20,33575,101284.109375,15.8125,731.570435,-28.417969,-744.241333
73,0,20,33576,101284.023438,15.8125,699.526978,-25.671387,-769.876099
73,0,20,33577,101282.0625,15.8125,655.581665,-58.630371,-710.366821
73,0,20,33578,101282.960938,15.8125,669.314575,-43.066406,-692.056274
73,0,20,33579,101283.515625,15.8125,646.426392,85.107422,-702.127075
73,0,20,33580,101282.773438,15.8125,714.175415,53.979492,-749.734497
73,0,20,33581,101282.375,15.8125,696.780396,106.164551,-736.917114
73,0,20,33582,101279.898438,15.8125,722.415161,-118.139648,-700.296021
73,0,20,33583,101282.507812,15.8125,672.061157,4.541016,-672.8302
73,0,20,33584,101285.382812,15.8125,680.300903,-33.911133,-736.917114
73,0,20,33585,101283.59375,15.8125,627.200317,-33.911133,-733.255005
73,0,20,33586,101280.984375,15.8125,632.693481,108.911133,-721.353149
73,0,20,33587,101280.070312,15.8125,519.168091,128.137207,-503.457642
73,0,20,33588,101286.03125,15.8125,632.693481,77.783203,-713.113403
73,0,20,33589,101283.015625,15.8125,674.807739,4.541016,-739.663696
73,0,20,33590,101278.992188,15.8125,705.935669,-52.22168,-619.729614
73,0,20,33591,101285.585938,15.8125,745.303345,-141.027832,-585.855103
73,0,20,33592,101294.265625,15.8125,663.821411,-19.262695,-638.955688
73,0,20,33593,101294.40625,15.8125,532.901001,97.009277,-536.416626
73,0,20,33594,101295.109375,15.8125,635.440063,27.429199,-738.748169
73,0,20,33595,101291.625,15.8125,696.780396,-22.009277,-731.42395
73,0,20,33596,101285.046875,15.8125,661.074829,46.655273,-785.440063
73,0,20,33597,101283.328125,15.8125,635.440063,4.541016,-627.053833
73,0,20,33598,101285.71875,15.8125,618.045044,75.036621,-566.629028
73,0,20,33599,101289.820312,15.8125,696.780396,-128.210449,-751.565552
